,0
H_OVA,0.014342242454382259
H_BaseStats,0.012294732930814118
A_OVA,0.012192423819476148
H_BOV,0.012100364309416333
A_BOV,0.011978160525989535
A_BaseStats,0.011661373414268022
A_Dri,0.011637402330613677
H_Reactions,0.011585240509186275
A_SHORT_PASSING,0.011556466670330372
A_CROSSING,0.0115156424494233
H_TotalMovement,0.011462201382938717
A_Reactions,0.011364111563135286
A_DEFENDING,0.011064013218853504
H_BallControl,0.01101274182126329
H_POT,0.010924510564557772
A_POT,0.010913421202796394
A_SHO,0.010872710764542713
H_Stamina,0.0108175775488029
A_BallControl,0.010667958749618678
H_ATTACKING,0.010622876788569326
A_Pas,0.010400948464009947
H_SHO,0.010068265364733623
A_TotalMentary,0.00991270751582974
H_SHORT_PASSING,0.00985589550104303
A_TotalStats,0.009855079990630882
A_CURVE,0.00979966839797718
A_ATTACKING,0.009789784114649142
H_CROSSING,0.009772532023830098
A_VOLLEYS,0.009673417789287427
H_Composure,0.009533566101613001
A_Vision,0.0094320968472216
H_Positioning,0.009379860107562718
H_LONG_PASSING,0.009346074703133055
H_TotalPower,0.009344168319803933
H_Pas,0.0093305982459932
H_GKPositioning,0.009320856927902806
H_Pac,0.00925377469865252
A_totalSKILL,0.009242660149411355
H_TotalStats,0.009229965442496536
H_FK_ACCURACY,0.009216834548170778
H_DEFENDING,0.009192034527954501
A_LONG_PASSING,0.00918341914207274
H_Vision,0.009113268339425128
H_VOLLEYS,0.00908688967892423
H_FINISHING,0.009046555633946969
A_Stamina,0.009023609489371962
A_TotalPower,0.008990026059900263
A_ShotPower,0.008916245992146311
A_TotalMovement,0.00882013382877569
H_totalSKILL,0.008786930182100026
A_Composure,0.008731698800267482
H_SprintSpeed,0.008725733344949516
H_LongShots,0.008707023700011002
A_SlidingTackle,0.008689535510513362
A_Positioning,0.008685832902511787
A_Balance,0.008651656607805217
H_DRIBBLING,0.008650250472105145
A_FK_ACCURACY,0.008643757916135218
A_Acceleration,0.008632477539588066
H_CURVE,0.008628502546813202
